##noted:地址
Rd.	road
St.	street
St.	street
st.	street
addr.	address
Addr.	address
Addr	address
Ave.	avenue

&	and
ยง	section
&c	and etcetera
&c.	and etcetera
&c.	and etcetera
&c.,	and etcetera
&c.:	and etcetera
&c.;	and etcetera
&c;	and etcetera
Ch.	chapter
Chap.	chapter
Co.	company
Ltd	limited
Corp.	Corporation
Dr.	Doctor
Dr	Doctor
Inc.	Incorporated
Jr.	Junior
Miss.	Miss
Mr.	Mister
Mrs.	Misses
Ms.	Miss
Mr	Mister
Mrs	Misses
Ms	Miss
miss.	Miss
mr.	Mister
mrs.	Misses
ms.	Miss
Mar.	March
Mar	March
mar.	March
mar	March
may	may
mil.	military


abbrev.	abbreviation
abst.	abstract
abstr.	abstract
ad.	advertisement
adj.	adjective
adjs.	adjectives
ads.	advertisements
anniv.	anniversary
apr	april
apr.	April
aug	august
aug.	August
bef.	before
belg.	Belgian
betw.	between
braz.	Brazilian
calif.	California
ch.	chapter
chap.	chapter
char.	character
cmpd.	compound
co.	company
co.	company
co.,ltd	company limited
concl.	conclusion
conj.	conjunction
conn.	Connecticut
corp.	Corporation
dec	december
dec.	December
dept.	department
dict.	dictionary
doc.	document
docs.	documents
dr.	Doctor
dr.	Doctor
etc	etcetra
etc.	etcetra
eval.	evaluation
feb	february
feb.	February
fig.	figure
figs.	figures
freq.	frequently
govt.	government
handbk.	handbook
hosp.	hospital
inc.	Incorporated
investig.	investigation
investm.	investment
jan	january
jan.	January
jr.	Junior
jr.	junior
jrnl.	journal
jrnls.	journals
jul	july
jul.	July
jun	june
jun.	June
norweg.	Norwegian
nov	november
nov.	November
num.	Numbers
observ.	observation
oct	october
oct.	October
oxf.	Oxford
photog.	photography
photogr.	photography
plur.	plural
ppl.	people
prob.	probably
psych.	psychology
ref.	reference
sat.	Saturday
sch.	school
scotl.	Scotland
sep	september
sept.	September
sess.	session
settlem.	settlement

std.	standard
subj.	subject
syll.	syllable
symmetr.	symmetrical
syst.	system
techn.	technical
telecomm.	telecommunications
textbk.	textbook
transf.	transfer
transl.	translation
treatm.	treatment
typogr.	typography
univ.	university
unkn.	unknown
unoffic.	unofficial
var.	variant
vbs.	verbs
veg.	vegetable
vocab.	vocabulary
vol.	volume
vol	volume
vols.	volumes
vs.	versus
wkly.	weekly
yng.	young
yr.	year
yrs.	years

##noted:month
Jan.	January
Jan	January
jan.	January
jan	January
Feb.	February
Feb	February
feb.	February
feb	February
Mar.	March
Mar	March
mar.	March
mar	March
Apr.	April
Apr	April
apr.	April
apr	April
Jun.	June
Jun	June
jun.	June
jun	June
Jul.	July
Jul	July
jul.	July
jul	July
Aug.	August
Aug	August
aug.	August
aug	August
Sept.	September
Sept	September
sept.	September
sept	September
Sep.	September
Sep	September
sep.	September
sep	September
Oct.	October
Oct	October
oct.	October
oct	October
Nov.	November
Nov	November
nov.	November
nov	November
Dec.	December
Dec	December
dec.	December
dec	December

##noted:<EXPN>III</EXPN>
##noted:<EXPN>K.</EXPN>
##noted:<EXPN>LW</EXPN>
##noted:<EXPN>N</EXPN>

##noted:化学元素缩写
#Ac	Actinium
#Ag	Silver
#Al	Aluminum
#Am	Americium
#Ar	Argon
#As	Arsenic
#At	Astatine
#Au	Gold
#Ba	Barium
#Be	Beryllium
#Bh	Bohrium
#Bi	Bismuth
#Bk	Berkelium
#Br	Bromine
#Ca	Calcium
#Cd	Cadmium
#Ce	Cerium
#Cf	Californium
#Cl	Chlorine
#Cm	Curium
#Co	Cobalt
#Cr	Chromium
#Cs	Cesium
#Cu	Copper
#Db	Dubnium
#Ds	Darmstadtium
#Dy	Dysprosium
#Er	Erbium
#Es	Einsteinium
#Eu	Europium
#Fe	Iron
#Fm	Fermium
#Fr	Francium
#Ga	Gallium
#Gd	Gadolinium
#Ge	Germanium
#H	Hydrogen
#He	Helium
#Hf	Hafnium
#Hg	Mercury
#Ho	Holmium
#Hs	Hassium
#In	Indium
#Ir	Iridium
#Kr	Krypton
#La	Lanthanum
#Li	Lithium
#Lr	Lawrencium
#Lu	Lutetium
#Md	Mendelevium
#Mg	Magnesium
#Mn	Manganese
#Mo	Molybdenum
#Mt	Meitnerium
#Na	Sodium
#Nb	Niobium
#Nd	Neodymium
#Ne	Neon
#Ni	Nickel
#No	Nobelium
#Np	Neptunium
#Os	Osmium
#Pa	Protactinium
#Pb	Lead
#Pd	Palladium
#Pm	Promethium
#Po	Polonium
#Pr	Praseodymium
#Pt	Platinum
#Pu	Plutonium
#Ra	Radium
#Rb	Rubidium
#Re	Rhenium
#Rf	Rutherfordium
#Rg	Roentgenium
#Rh	Rhodium
#Rn	Radon
#Ru	Ruthenium
#Sb	Antimony
#Sc	Scandium
#Se	Selenium
#Sg	Seaborgium
#Si	Silicon
#Sm	Samarium
#Sn	Tin
#Sr	Strontium
#Ta	Tantalum
#Tb	Terbium
#Tc	Technetium
#Te	Tellurium
#Th	Thorium
#Ti	Titanium
#Tl	Thallium
#Tm	Thulium
#Uub	Ununbium
#Uuh	Ununhexium
#Uuo	Ununoctium
#Uup	Ununpentium
#Uuq	Ununquadium
#Uus	Ununseptium
#Uut	Ununtrium
#Xe	Xenon
#Yb	Ytterbium
#Zn	Zinc
#Zr	Zirconium

col.	column
Gen.	General
#IPOB	Indigenous People of Biafra
#DSS	Department of Social Services


S&P	S@ACRO@ and P@ACRO@
B2B	B@ACRO@ two B@ACRO@
NE	north east
ne	north east
AT&T	AT@ACRO@ and T@ACRO@
b2b	B@ACRO@ two B@ACRO@
Mc	Mac
