#原始字形	unicode编码	转换后字形
Ӕ	1236	AE
ӕ	1237	ae
а	\u0430	a
А	\u0410	A
α		a
Α		A
ⓐ		a
Ⓐ		A
ạ		a
Ạ		A
ả		a
Ả		A
ấ		a
Ấ		A
ầ		a
Ầ		A
ẩ		a
Ẩ		A
ẫ		a
Ẫ		A
ậ		a
Ậ		A
ắ		a
Ắ		A
ằ		a
Ằ		A
ẳ		a
Ẳ		A
ẵ		a
Ẵ		A
ặ		a
Ặ		A
ḁ		a
Ḁ		A
ȧ		a
Ȧ		A
ȁ		a
Ȁ		A
ȃ		a
Ȃ		A
ǻ		a
Ǻ		A
ǡ		a
Ǡ		A
ǟ		a
Ǟ		A
ǎ		a
Ǎ		A
ą		a
Ą		A
ā		a
Ā		A
à		a
À		A
á		a
Á		A
â		a
Â		A
ã		a
Ã		A
ä		a
Ä		A
ₐ		a
å		a
Å		A
Å		A
Ά	902	A
Α	913	A
ά	940	a
α	945	a
ἀ	7936	a
ἁ	7937	a
ἂ	7938	a
ἃ	7939	a
ἄ	7940	a
ἅ	7941	a
ἆ	7942	a
ἇ	7943	a
Ἀ	7944	A
Ἁ	7945	A
Ἂ	7946	A
Ἃ	7947	A
Ἄ	7948	A
Ἅ	7949	A
Ἆ	7950	A
Ἇ	7951	A
ὰ	8048	a
ά	8049	a
ᾀ	8064	a
ᾁ	8065	a
ᾂ	8066	a
ᾃ	8067	a
ᾄ	8068	a
ᾅ	8069	a
ᾆ	8070	a
ᾇ	8071	a
ᾈ	8072	A
ᾉ	8073	A
ᾊ	8074	A
ᾋ	8075	A
ᾌ	8076	A
ᾍ	8077	A
ᾎ	8078	A
ᾏ	8079	A
ᾰ	8112	a
ᾱ	8113	a
ᾲ	8114	a
ᾳ	8115	a
ᾴ	8116	a
ᾶ	8118	a
ᾷ	8119	a
Ᾰ	8120	A
Ᾱ	8121	A
Ὰ	8122	A
Ά	8123	A
ᾼ	8124	A
Ӑ	1232	A
ӑ	1233	A
Ӓ	1234	A
ӓ	1235	A
ª		a
ᵃ		a
ᴬ		A
Ъ	1066	b
ъ	1098	b
Ь	1068	b
